"X,Y"
"На русском языке вышла книга Даня Годеса «Конрад Хаас. Ракеты для души» в которой автор рассказывает о том что он сделал с птицей.,ракеты; история; изобретения; Научно-популярное; Инженерные системы; Биографии гиков; "
"В преддверии выхода второй части знаменитой игры про динозавров Cretaceous Runner мы решили поделиться своими впечатлениями от этой игры.,игры; динозавры; рапторы; гта; разработка; ностальгия по играм; ностальгии пост; биология: разнообразие живого; Разработка игр; Продвижение игр; Научно-популярное; Биология; "
"Двадцать лет большая гипсовая статуя Будды украшенная цветным стеклом и позолотой простояла во дворе одного из второразрядных храмов Бангкока под жестяным навесом на улице. 25 мая 1955 года в процессе погрузки на грузовик косорукие местные «джамшуты» уронили тяжелую статую. Под слоями гипсовой штукатурки блеснуло золото.,история; путешествия; Научно-популярное; "
"Белорусский изобретатель Валерий Цуриков 30 лет назад купил лицензионный язык «Пролог» и начал программировать «Изобретающую машину» — софт который усиливал интеллект инженеров и помогал изобретать.,ТРИЗ; пролог; Изобретающая машина; Научно-популярное; Искусственный интеллект; "
"В сегодняшнем обзоре мы рассмотрим как муравьи ведут работу в небольшом лесу а также рассмотрим почему у человека 86 миллиардов нейронов а у коммивояжёра — всего 500 тысяч.,муравьи; алгоритм; задача коммивояжëра; оптимизация; муравьиный алгоритм; поиск пути; планирование; Алгоритмы; Математика; Читальный зал; Научно-популярное; Биология; "
"Ученые и защитники окружающей среды выступают против инвазивных методов морской добычи полезных ископаемых которые могут нанести непоправимый ущерб хрупким экосистемам. Тем временем учёные разрабатывают автономных рыб-роботов которые смогут помочь в наблюдении и осваивании океана.,роботы; рыбы; Робототехника; Научно-популярное; Экология; Биология; "
"В преддверии нового семестра я решил поделиться своим опытом работы с программным продуктом MS Excel и Jupiter Lab.,статистика; шаблон; Математика; Визуализация данных; Научно-популярное; "
"В преддверии глобальной эпидемии ожирения ковид-19 — одной из главных «болезней цивилизации» в ближайшее время. По мнению экспертов это побочный эффект развития пищевой промышленности.,метаболическое здоровье; Научно-популярное; Здоровье; Биология; "
"В сегодняшнем обзоре программ для компьютерного моделирования я расскажу о проекте aztotmd. На данный момент поддерживается только параллельная CUDA-версия поэтому соответствующие ограничения на железо – видеокарта от NVidia с computational capability > 2.2.,молекулярная динамика; непостоянное поле сил; излучательный термостат; температуро-зависимое поле сил; Параллельное программирование; Научно-популярное; Физика; Химия; "
"В преддверии новогодних праздников мы собрали 10 документальных фильмов о технологиях играх и людях которые изменили этот мир.,фильмы; кино; документальные фильмы; технологии; Читальный зал; Научно-популярное; Биографии гиков; "
"В сегодняшнем обзоре полезных инструментов для анализа изображений и видео мы собрали для вас самые популярные из них.,расширения; Информационная безопасность; Обработка изображений; Научно-популярное; "
"В преддверии новогодних праздников мы выбрали 12 лучших фильмов о виртуальной реальности из 90-х.,ланит; обзор; список фильмов; научно-популярное; Киберпанк; Научно-популярное; Научная фантастика; "
"В сегодняшнем обзоре я расскажу вам о том почему люди не равны с рождения в ИТ-специальности.,профессия аналитик; профессия программиста; Научно-популярное; "
"В преддверии новогодних праздников на Дальнем Востоке произошла одна из самых громких и неоднозначных новостей за последние несколько лет. На этот раз речь идет о том как повысить точность прогнозирования погодных явлений и извержений вулканов.,землетрясения; сейсмографы; животные; биология: разнообразие живого; прогнозирование; прогнозы; барометр; гидрометцентр; Читальный зал; Научно-популярное; Биология; "
"В сегодняшнем обзоре я хочу поделиться самыми интересными находками по языкам программирования.,языки программирования; Программирование; Научно-популярное; "
"В рамках серии «Рефератов отдельных статей» выделенных профессором МГУ Сергеем Поповым на основе его личных предпочтений публикуется ежемесячный обзор интересных научных публикаций в области астрономии астрофизики и физики с сайта препринтов arxiv.org.,обзор; научно-популярное; астрономия; астрофизика; физика; попов; космос; Научно-популярное; Физика; Астрономия; "
"Астрономия как и любая другая наука неотделима от мифов античных эллинов. Но несмотря на то что мифологическая составляющая астрономии настолько сильно привязана к мифам что и по сей день однозначно отделить одно от другого не удается.,астрономия; космология; история; мифология; футурология; греция; античность; мифы; греческие мифы; Научно-популярное; Научная фантастика; Астрономия; "
"В Питере прошла 62-я Международная математическая олимпиада. Российские школьники заняли второе место с пятью золотыми и одной серебряной медалью.,математика; олимпиада; математические задачи; Занимательные задачки; Математика; Научно-популярное; "
"Российский промышленный томограф – это тот же томограф только более мощный так как предназначен для исследования промышленных изделий (сборок отдельных деталей). Он позволяет заглянуть внутрь различных объектов рассмотреть структуру выявить пустоты или включения обнаружить трещины или поры.,компьютерная томография; обратное проектирование; Реверс-инжиниринг; Производство и разработка электроники; Научно-популярное; "
"Российский инженер-биомедик Гоф Луи записал звуки старых модемов в лабораторных условиях чтобы получить лучшее качество WAV-файлов. В его коллекции есть устройства на чипсете Rockwell и решения от USR одной из старейших компаний в сфере телеком-оборудования.,аудиомания; звук; модемы; мир вокруг нас; звуки природы; Научно-популярное; Звук; "
